,gold_realized_vol_20d,gold_realized_vol_5d,vol_of_vol
2020-05-18,0.18722919933384397,0.1595158376791094,0.0455532222260594
2020-05-19,0.1796708722305978,0.16021976722146827,0.040498721006627145
2020-05-20,0.1463391884933445,0.15998217049350238,0.0422440713829765
2020-05-21,0.15929631774311928,0.1884311554458756,0.04229046312346835
2020-05-22,0.1604940471327458,0.18504100939850054,0.041264245174775914
2020-05-26,0.17067906817514775,0.20362837926064864,0.039219923066610235
2020-05-27,0.1710102771906534,0.19446711556421528,0.036233926217078084
2020-05-28,0.17098915649559332,0.18954079814382854,0.03413367603736016
2020-05-29,0.17216259647375967,0.1851535930570492,0.030663615977679082
2020-06-01,0.17189205556475337,0.17705289609372055,0.02834792833681333
2020-06-02,0.17272705017855897,0.1196232465101661,0.025183032024034793
2020-06-03,0.18211047456145232,0.17505486018257213,0.02298408271925201
2020-06-04,0.18106160645798516,0.2018467021792408,0.019787203509637582
2020-06-05,0.1849949350247386,0.2288406043596898,0.01289300019187224
2020-06-08,0.19071510533023864,0.2691874269104931,0.012719396104063996
2020-06-09,0.1908528645244867,0.2845181466640972,0.01246464788298031
2020-06-10,0.19011162911683457,0.2535982962953679,0.012219511848318345
2020-06-11,0.192997476848314,0.24984880008847557,0.012561284395493208
2020-06-12,0.1860949709926662,0.11008576742148646,0.012212146620524202
2020-06-15,0.1836346766474786,0.11469470010096224,0.01226304082382341
2020-06-16,0.17970991801952216,0.10141564681927463,0.012054588188272854
2020-06-17,0.17804464288454733,0.10056484683339087,0.012040228545995077
2020-06-18,0.17750308066515563,0.06242384916280793,0.009675536718373259
2020-06-19,0.17188011152650884,0.11050563038724183,0.008734384974498988
2020-06-22,0.1710407923283784,0.09224190951941776,0.007831010124335992
2020-06-23,0.1594753776461063,0.0978987313086072,0.008832679351413119
2020-06-24,0.1606043225665355,0.11082607018167244,0.009598321973000298
2020-06-25,0.16115050615111615,0.1091325326240516,0.01023102997028585
2020-06-26,0.15549140019687452,0.08721869099866165,0.01134485883898144
2020-06-29,0.1560680380430978,0.0847529938608958,0.012243706311116986
2020-06-30,0.15616022621849918,0.09464688028421386,0.013034015597080001
2020-07-01,0.15002069523528982,0.13712695957727658,0.014106509908166824
2020-07-02,0.14589601418778392,0.13493458225670965,0.015305003280763639
2020-07-06,0.10585289295065424,0.1328031368898907,0.020980419475542477
2020-07-07,0.10179774146380922,0.1410209547663718,0.024988644859855594
2020-07-08,0.09949254938717887,0.12803443097681835,0.027943304884494813
2020-07-09,0.10791707433246069,0.11323201934307356,0.029167711840607055
2020-07-10,0.10397540423409761,0.11213469546796113,0.029855105076358877
2020-07-13,0.1043964372499116,0.11879595959826471,0.03032700177348979
2020-07-14,0.10107920135432186,0.10238415767579448,0.030624235261268895
2020-07-15,0.10088511822527137,0.09035833238281296,0.03063909047392199
2020-07-16,0.10647168930465647,0.08009578069265555,0.02994129768657163
2020-07-17,0.10566357509353648,0.08921047305677111,0.028845141082598905
2020-07-20,0.09941653541322316,0.07962703658577992,0.028014215313013978
2020-07-21,0.10815632356274202,0.12727340911732934,0.026367584334770423
2020-07-22,0.11067760303717512,0.1346734188226512,0.02519222951534064
2020-07-23,0.11444494717907971,0.07548075115855407,0.023534953779495254
2020-07-24,0.112571452157253,0.0811467980882655,0.021452012827303583
2020-07-27,0.12283802518714715,0.08133412321916222,0.01955260504688221
2020-07-28,0.12320679533543362,0.08501403181232974,0.017222759515502745
2020-07-29,0.1208672573437228,0.09475893152446935,0.01422837850568445
2020-07-30,0.1124764764302868,0.13245048892450234,0.01112557761414838
2020-07-31,0.11452562949045146,0.13585571416747225,0.007468884724103567
2020-08-03,0.11463254703222948,0.09757239188317401,0.007542001126595566
2020-08-04,0.12311491916862827,0.14198073099231787,0.007926248666965174
2020-08-05,0.12801319630165403,0.15482647569019703,0.008421960614216465
2020-08-06,0.11631736180800291,0.09789071361058241,0.008429343611371987
2020-08-07,0.14819404132202443,0.24284687966402174,0.011427983192972552
2020-08-10,0.14823738231999375,0.2413570839600683,0.013436783682341236
2020-08-11,0.2334808573619268,0.4058731901135402,0.02899809891643056
2020-08-12,0.2333369814941919,0.3698544831696459,0.03750746695774491
2020-08-13,0.23131078461857768,0.3739910088145671,0.043348250862335756
2020-08-14,0.2367678205641216,0.3619686469437614,0.04815399984079231
2020-08-17,0.24854530719040271,0.42254556901204576,0.05246363169640144
2020-08-18,0.24596605760859191,0.20382262043798785,0.05562165000732384
2020-08-19,0.25902563125846484,0.2835512863861036,0.05891641675463379
2020-08-20,0.2611638640207464,0.28830899656313985,0.061449599188487615
2020-08-21,0.2609826379789306,0.279812390863162,0.0628741977611118
2020-08-24,0.2539022904589303,0.17274761203550423,0.06352291656009833
2020-08-25,0.25410811139364664,0.12832653823699125,0.06348836651113415
2020-08-26,0.25973064422082087,0.16928064150875594,0.06286120829974892
2020-08-27,0.2613104719428863,0.15850523491835464,0.06083227774034066
2020-08-28,0.2723453528937216,0.23834722681563147,0.058444595210406354
2020-08-31,0.2723637617235714,0.2313559684069356,0.05478317239609495
2020-09-01,0.2642761661449984,0.20881488060924439,0.05022025948776391
2020-09-02,0.2637825965685739,0.24453281480991887,0.04465181580743886
2020-09-03,0.25976721101923306,0.23275267791508453,0.034807827440143706
2020-09-04,0.251628804780765,0.12037721914862036,0.026638444919026342
2020-09-08,0.2505832179059106,0.13018067700548192,0.012332536756398397
2020-09-09,0.19277097646137042,0.1465552338695426,0.017935478531544743
2020-09-10,0.1933620604940872,0.06967186971262038,0.02188106250011248
2020-09-11,0.19160339282896485,0.09750867773133885,0.025187548864681764
2020-09-14,0.19012192230656813,0.1031979488949609,0.028229050627506753
2020-09-15,0.1673504663335187,0.10231918994862826,0.033156374601663374
2020-09-16,0.16510054617007078,0.09707619781310305,0.03723775616019208
2020-09-17,0.15299351366136923,0.12294026850870822,0.04130258454592675
2020-09-18,0.14740241176662824,0.1142284930981384,0.04475826834952678
2020-09-21,0.17525881954230058,0.20942476771288737,0.045360100581959176
2020-09-22,0.17497596901518392,0.20384161227080236,0.045867887113681866
2020-09-23,0.18689554913449008,0.21029099195074158,0.045547450561441466
2020-09-24,0.17813291985204915,0.23571013745265842,0.044950410420520746
2020-09-25,0.17633248019780198,0.205422650509855,0.043909067873755196
2020-09-28,0.15425324635073295,0.1763831930301609,0.042484724763502096
2020-09-29,0.16138530755464997,0.2052841574310541,0.039757321196232175
2020-09-30,0.16129448211449363,0.11859420292544304,0.03686249935966242
2020-10-01,0.15737952290494336,0.1325137412895078,0.03310186142144567
2020-10-02,0.15760266479773583,0.12487348767898952,0.028415144994662224
2020-10-05,0.15954845764112452,0.12252052061049691,0.023032768770894507
2020-10-06,0.15963389050131013,0.12002096518503406,0.014757621703791695
2020-10-07,0.16009028911422826,0.13804932298992698,0.013908254006059034
2020-10-08,0.15917098977985025,0.10236027417336829,0.012749122969323469
2020-10-09,0.1692776176409864,0.16180973064567153,0.011368115821644553
2020-10-12,0.1666415106493965,0.15706721147751646,0.009821589720355607
2020-10-13,0.17672416450680195,0.20494720700693075,0.01018007619860227
2020-10-14,0.17885702649568397,0.19718681127479343,0.01064118196003273
2020-10-15,0.17578600685774112,0.19715605046285214,0.010427943625453457
2020-10-16,0.17379440948984098,0.14748883240043928,0.009465251539932919
2020-10-19,0.1472567801957903,0.14985534774592027,0.010384992386519451
2020-10-20,0.14727925666518632,0.046877868499932585,0.011055585262551999
2020-10-21,0.12699771535368323,0.050870430778261526,0.012879213906202938
2020-10-22,0.1357037845639016,0.11741135392069449,0.013619604790138814
2020-10-23,0.13331199524698306,0.11706795208556992,0.014324973035395419
2020-10-26,0.13083266374435706,0.11459046707914965,0.015559986875768856
2020-10-27,0.12506433826954036,0.11634857335603851,0.017059719178559085
2020-10-28,0.1391588828995298,0.14286756344362134,0.017353056339393463
2020-10-29,0.13313989404444107,0.12819567891688016,0.017941511688520796
2020-10-30,0.135045305905283,0.1453429422512686,0.018328138953134822
2020-11-02,0.13520487964212835,0.15898782596861888,0.018583645195329533
2020-11-03,0.1379810511674293,0.17489350416342395,0.018650966039792025
2020-11-04,0.1365007075679115,0.11940252476142996,0.018682937209883316
2020-11-05,0.1654253974857456,0.19330670148958706,0.018927223557774472
2020-11-06,0.15604055659525148,0.19768732094252658,0.01838609838309165
2020-11-09,0.23817012857533756,0.4545185222478892,0.027119157863216708
2020-11-10,0.2349283705769128,0.4592104233033393,0.03255619784708716
2020-11-11,0.2349057779771643,0.45948282693437315,0.03690150441186913
2020-11-12,0.2362326511221029,0.39361804638276343,0.04078159305830249
2020-11-13,0.23773433783372291,0.4017029755173784,0.04426507171560184
2020-11-16,0.23747358243072433,0.11927818058946517,0.04704850054072597
2020-11-17,0.2373150587671605,0.09638981828304913,0.049232745476352306
2020-11-18,0.2360870993046138,0.08554070961011757,0.04998007080370399
2020-11-19,0.23345611782817297,0.08747171991530646,0.05042314174502956
2020-11-20,0.23466910959251996,0.08153555631300356,0.050291378453643114
2020-11-23,0.24294464877264918,0.14092791690850673,0.04985745001152206
2020-11-24,0.24899731432590372,0.1601537486699812,0.04860655211713164
2020-11-25,0.24327139245104795,0.17302311395258235,0.04735507863095425
2020-11-27,0.24642815431424675,0.17728835768665988,0.045054929307878216
2020-11-30,0.2443346867402184,0.136963884932647,0.041949932977777764
2020-12-01,0.2573718888097311,0.24412724991161067,0.03831784158899342
2020-12-02,0.25578965884809907,0.2043909249836281,0.03346824018946814
2020-12-03,0.2565770876897384,0.20497092122148353,0.02618662425736473
2020-12-04,0.23419051502656063,0.15396783718286683,0.020651080519450964
2020-12-07,0.24120470551839096,0.135022992737814,0.007761440231467792
2020-12-08,0.16369605926501687,0.08294401878391121,0.01909134906046551
2020-12-09,0.1722092028144094,0.19900965722580907,0.024096757692010817
2020-12-10,0.17031569727846632,0.19392473881224367,0.028074023803310647
2020-12-11,0.16904280237988667,0.19561178357160255,0.03131306601613074
2020-12-14,0.16741579125752157,0.1553698944320948,0.0340123591773979
2020-12-15,0.17495377993741573,0.1895839519903812,0.03560639753687281
2020-12-16,0.175247725578015,0.10976064881003711,0.03684013477985647
2020-12-17,0.18454592510561285,0.1442827883598525,0.03733786274757365
2020-12-18,0.18275061106942894,0.15157694930971574,0.037796917953245524
2020-12-21,0.18225862243292973,0.1404450699186372,0.03805321191709717
2020-12-22,0.1706381013842274,0.14420291195211027,0.03826049050890177
2020-12-23,0.1555988494239491,0.14559025638046508,0.038571298689019734
2020-12-24,0.15552640480769078,0.07145980173037642,0.038666909383201616
2020-12-28,0.14567821839906087,0.07162060169556331,0.03858905822585948
2020-12-29,0.14398525603897888,0.06887566297457691,0.038079092224170184
2020-12-30,0.12726395089622888,0.0518054646518035,0.03668305350075713
2020-12-31,0.12633749161685465,0.05137097404416796,0.0342121515970261
2021-01-04,0.15462514806440938,0.18574697478734895,0.028537894034357244
2021-01-05,0.15412057814692776,0.17370659849925899,0.024349269823775353
2021-01-06,0.17500343466839305,0.28693678308708664,0.016942506525440184
2021-01-07,0.17458633711874655,0.28463752179634494,0.01715459030226939
2021-01-08,0.21916935839820637,0.4195905573357205,0.021202487336099873
2021-01-11,0.22109998703902606,0.33923887536026254,0.024586402224516427
2021-01-12,0.22129941465684125,0.3236432605872735,0.02732776412517107
2021-01-13,0.22085618533849266,0.32153809562100527,0.02952386839356108
2021-01-14,0.21630136806018874,0.31588948328626365,0.031055382236987866
2021-01-15,0.2200427052665004,0.12638635721798125,0.03262375299820666
2021-01-19,0.2117800087653233,0.11505718524369687,0.03348657872331939
2021-01-20,0.2187936970730074,0.15434703691135948,0.03465170270668853
2021-01-21,0.2185013404271546,0.15206058289246321,0.03566762276787427
2021-01-22,0.2179771835322042,0.15802384469648006,0.036398066503860696
2021-01-25,0.21731990259269857,0.11904025083104681,0.036397085094476554
2021-01-26,0.21707491663715506,0.1203879426139462,0.036106541447270435
2021-01-27,0.2172520653651103,0.03204784962456516,0.03489527895577172
2021-01-28,0.21735392407436244,0.027546342497906978,0.03309672379465926
2021-01-29,0.21638478327519017,0.05732428560956729,0.02873611162712359
2021-02-01,0.21837362351887676,0.08247040450277678,0.022551828257192954
2021-02-02,0.19801210846619202,0.14761332916184985,0.019018418920302843
2021-02-03,0.19686656611936623,0.1486877222321459,0.014268289736650938
2021-02-04,0.19713890502831435,0.21923834988572816,0.011940374035291532
2021-02-05,0.20378300214146827,0.24516208222111557,0.008229407271610784
2021-02-08,0.15185231399474414,0.25898792226297473,0.016111448581902558
2021-02-09,0.1487742578831345,0.23095631897907856,0.021059411160869054
2021-02-10,0.1487040752059267,0.23154504913646948,0.024493362983853267
2021-02-11,0.14991329508663648,0.13502472616411387,0.026891127218397842
2021-02-12,0.14990580663538283,0.1164058830260897,0.028816482969229378
2021-02-16,0.15173783026842844,0.11087059097825436,0.029941316841192642
2021-02-17,0.1570787584712003,0.11893141667340278,0.030661329954550173
2021-02-18,0.14571266029651725,0.11080312952278719,0.031473470213383495
2021-02-19,0.14616758471184263,0.12562869761843198,0.031815508928533395
2021-02-22,0.16168186127149764,0.20762478006819782,0.031074166857949337
2021-02-23,0.1616569471026053,0.18016011646985425,0.030084939166633903
2021-02-24,0.1620011576713046,0.1343286153396942,0.028790743172245382
2021-02-25,0.16597184949026617,0.17063784236754928,0.027063104655918137
2021-02-26,0.18720962833689625,0.2524878309331021,0.0252066055491947
2021-03-01,0.1847451356686658,0.16195530361468552,0.023110476381157423
