,Close
2003-11-19,5.27
2003-11-20,5.262
2003-11-21,5.295
2003-11-24,5.245
2003-11-25,5.298
2003-11-26,5.355
2003-12-01,5.445
2003-12-02,5.496
2003-12-03,5.468
2003-12-04,5.452
2003-12-05,5.472
2003-12-08,5.54
2003-12-09,5.635
2003-12-10,5.6
2003-12-11,5.579
2003-12-12,5.622
2003-12-15,5.639
2003-12-16,5.629
2003-12-17,5.692
2003-12-18,5.712
2003-12-19,5.722
2003-12-22,5.709
2003-12-23,5.735
2003-12-24,5.78
2003-12-29,5.917
2003-12-30,5.993
2003-12-31,5.965
2004-01-05,6.245
2004-01-06,6.328
2004-01-07,6.263
2004-01-08,6.273
2004-01-09,6.497
2004-01-12,6.617
2004-01-13,6.597
2004-01-14,6.43
2004-01-15,6.213
2004-01-16,6.33
2004-01-20,6.323
2004-01-21,6.208
2004-01-22,6.35
2004-01-23,6.36
2004-01-26,6.312
2004-01-27,6.555
2004-01-28,6.63
2004-01-29,6.23
2004-01-30,6.25
2004-02-02,6.043
2004-02-03,6.123
2004-02-04,6.148
2004-02-05,6.123
2004-02-06,6.278
2004-02-09,6.428
2004-02-10,6.388
2004-02-11,6.558
2004-02-12,6.62
2004-02-13,6.582
2004-02-17,6.78
2004-02-18,6.7
2004-02-19,6.658
2004-02-20,6.533
2004-02-23,6.49
2004-02-24,6.622
2004-02-25,6.535
2004-02-26,6.708
2004-02-27,6.696
2004-03-01,6.928
2004-03-02,6.71
2004-03-03,6.743
2004-03-04,6.759
2004-03-05,6.981
2004-03-08,6.974
2004-03-09,7.166
2004-03-10,7.171
2004-03-11,7.181
2004-03-12,7.051
2004-03-15,7.128
2004-03-16,7.155
2004-03-17,7.248
2004-03-18,7.453
2004-03-19,7.551
2004-03-22,7.618
2004-03-23,7.698
2004-03-24,7.64
2004-03-25,7.592
2004-03-26,7.707
2004-03-29,7.615
2004-03-30,7.775
2004-03-31,7.945
2004-04-01,8.148
2004-04-02,8.155
2004-04-05,8.117
2004-04-06,8.22
2004-04-07,8.19
2004-04-08,8.09
2004-04-12,8.03
2004-04-13,7.45
2004-04-14,7.005
2004-04-15,7.078
2004-04-16,7.145
2004-04-19,7.21
2004-04-20,6.945
2004-04-21,6.17
2004-04-22,6.028
2004-04-23,6.163
2004-04-26,6.173
2004-04-27,6.235
2004-04-28,5.867
2004-04-29,5.82
2004-04-30,6.078
2004-05-03,6.016
2004-05-04,6.037
2004-05-05,6.104
2004-05-06,5.819
2004-05-07,5.589
2004-05-10,5.756
2004-05-11,5.514
2004-05-12,5.556
2004-05-13,5.607
2004-05-14,5.721
2004-05-17,5.668
2004-05-18,5.673
2004-05-19,5.92
2004-05-20,5.773
2004-05-21,5.863
2004-05-24,5.99
2004-05-25,6.078
2004-05-26,6.048
2004-05-27,6.195
2004-05-28,6.11
2004-06-01,6.055
2004-06-02,5.838
2004-06-03,5.735
2004-06-04,5.81
2004-06-07,5.9
2004-06-08,5.77
2004-06-09,5.633
2004-06-10,5.748
2004-06-14,5.658
2004-06-15,5.735
2004-06-16,5.725
2004-06-17,5.925
2004-06-18,5.983
2004-06-21,5.86
2004-06-22,5.867
2004-06-23,5.875
2004-06-24,6.175
2004-06-25,6.127
2004-06-28,5.898
2004-06-29,5.853
2004-06-30,5.776
2004-07-01,5.935
2004-07-02,5.998
2004-07-06,5.964
2004-07-07,6.11
2004-07-08,6.42
2004-07-09,6.461
2004-07-12,6.528
2004-07-13,6.378
2004-07-14,6.598
2004-07-15,6.652
2004-07-16,6.712
2004-07-19,6.587
2004-07-20,6.599
2004-07-21,6.397
2004-07-22,6.418
2004-07-23,6.334
2004-07-26,6.234
2004-07-27,6.237
2004-07-28,6.363
2004-07-29,6.355
2004-07-30,6.56
2004-08-02,6.62
2004-08-03,6.685
2004-08-04,6.737
2004-08-05,6.75
2004-08-06,6.775
2004-08-09,6.737
2004-08-10,6.722
2004-08-11,6.527
2004-08-12,6.557
2004-08-13,6.625
2004-08-16,6.737
2004-08-17,6.73
2004-08-18,6.837
2004-08-19,6.82
2004-08-20,6.87
2004-08-23,6.745
2004-08-24,6.577
2004-08-25,6.613
2004-08-26,6.678
2004-08-27,6.588
2004-08-30,6.705
2004-08-31,6.771
2004-09-01,6.793
2004-09-02,6.768
2004-09-03,6.553
2004-09-07,6.199
2004-09-08,6.178
2004-09-09,6.154
2004-09-10,6.133
2004-09-13,6.183
2004-09-14,6.199
2004-09-15,6.271
2004-09-16,6.289
2004-09-17,6.259
2004-09-20,6.252
2004-09-21,6.346
2004-09-22,6.351
2004-09-23,6.446
2004-09-24,6.405
2004-09-27,6.529
2004-09-28,6.592
2004-09-29,6.695
2004-09-30,6.938
2004-10-01,6.943
2004-10-04,6.765
2004-10-05,7.102
2004-10-06,7.245
2004-10-07,7.217
2004-10-08,7.295
2004-10-11,7.252
2004-10-12,7.055
2004-10-13,6.9
2004-10-14,7.055
2004-10-15,7.11
